Дата;Генерация, МВт*ч;Потребление, МВт*ч
29-01-2011;240385;270063
30-01-2011;236051;266395
31-01-2011;251537;278259
01-02-2011;254401;276873
02-02-2011;254134;278629
03-02-2011;251459;279566
04-02-2011;247283;275489
05-02-2011;235248;266297
06-02-2011;232664;257042
07-02-2011;243936;264145
08-02-2011;248038;269375
09-02-2011;250262;266571
10-02-2011;253111;268433
11-02-2011;257904;271734
12-02-2011;250445;263953
13-02-2011;243828;255072
14-02-2011;259510;277000
15-02-2011;261545;282006
16-02-2011;260163;286130
17-02-2011;258720;287898
18-02-2011;257989;288473
19-02-2011;251704;280726
20-02-2011;249460;278656
21-02-2011;257509;290821
22-02-2011;260267;290104
23-02-2011;249829;278008
24-02-2011;264230;289394
25-02-2011;265173;287829
26-02-2011;263000;279098
27-02-2011;252669;274780
