Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-05-2020;540466;562399
01-06-2020;591973;584430
02-06-2020;596781;583101
03-06-2020;590240;581782
04-06-2020;585358;579261
05-06-2020;573038;578635
06-06-2020;536026;560342
07-06-2020;519418;558912
08-06-2020;572026;577724
09-06-2020;577808;576960
10-06-2020;590507;577507
11-06-2020;584991;578910
12-06-2020;553298;566849
13-06-2020;554361;562749
14-06-2020;545539;563665
15-06-2020;564218;574974
16-06-2020;560281;568814
17-06-2020;576825;576486
18-06-2020;581196;573438
19-06-2020;577235;576243
20-06-2020;586968;572426
21-06-2020;565419;566963
22-06-2020;589650;583590
23-06-2020;583184;579578
24-06-2020;583081;573510
25-06-2020;592778;581222
26-06-2020;594988;584358
27-06-2020;584858;573893
28-06-2020;564766;572499
29-06-2020;593911;582393
