Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-05-2019;270277;254116
02-05-2019;270052;262938
03-05-2019;263139;262356
04-05-2019;263562;256092
05-05-2019;263939;251637
06-05-2019;271767;266544
07-05-2019;269200;263680
08-05-2019;268610;262637
09-05-2019;262681;245175
10-05-2019;269144;249222
11-05-2019;266015;251612
12-05-2019;267721;250321
13-05-2019;273480;273227
14-05-2019;275340;275089
15-05-2019;270609;274508
16-05-2019;273606;273120
17-05-2019;258667;269899
18-05-2019;254658;257790
19-05-2019;255084;251881
20-05-2019;253207;272153
21-05-2019;241690;269232
22-05-2019;236242;273966
23-05-2019;238923;274572
24-05-2019;238223;273984
25-05-2019;239029;260635
26-05-2019;240237;253166
27-05-2019;247740;271859
28-05-2019;248605;271086
29-05-2019;249747;274433
30-05-2019;249179;278425
