Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-12-2013;338915;310071
02-12-2013;336805;335695
03-12-2013;342346;339632
04-12-2013;346314;343594
05-12-2013;347763;343106
06-12-2013;348480;341293
07-12-2013;344342;324915
08-12-2013;335872;313713
09-12-2013;353606;340633
10-12-2013;360084;345289
11-12-2013;370151;351817
12-12-2013;368791;357183
13-12-2013;354059;351335
14-12-2013;340469;332379
15-12-2013;346539;321342
16-12-2013;359219;353538
17-12-2013;357836;356448
18-12-2013;347153;347936
19-12-2013;342848;343446
20-12-2013;351980;346671
21-12-2013;341110;329267
22-12-2013;315104;314662
23-12-2013;321018;335971
24-12-2013;318127;336084
25-12-2013;312623;331655
26-12-2013;315110;332512
27-12-2013;320702;331925
28-12-2013;313185;319362
29-12-2013;307371;309591
30-12-2013;312105;315714
