Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-08-2015;249053;254027
02-08-2015;240707;236316
03-08-2015;248596;246275
04-08-2015;252229;252207
05-08-2015;251057;251603
06-08-2015;253200;246404
07-08-2015;245158;235328
08-08-2015;237189;228778
09-08-2015;236140;226251
10-08-2015;243189;243753
11-08-2015;249127;253994
12-08-2015;254913;258856
13-08-2015;253012;249532
14-08-2015;259914;257527
15-08-2015;251331;250649
16-08-2015;240821;240078
17-08-2015;248094;241200
18-08-2015;242488;233144
19-08-2015;234477;227621
20-08-2015;234665;220218
21-08-2015;228287;216263
22-08-2015;218143;210894
23-08-2015;211579;204965
24-08-2015;214986;212087
25-08-2015;220737;210349
26-08-2015;227253;210867
27-08-2015;223751;212780
28-08-2015;218164;211866
29-08-2015;213087;207412
30-08-2015;214032;203993
