Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-07-2018;286363;215575
02-07-2018;275569;224582
03-07-2018;268377;221663
04-07-2018;264769;218465
05-07-2018;266618;218959
06-07-2018;263936;220813
07-07-2018;269214;213371
08-07-2018;269144;208411
09-07-2018;269360;218553
10-07-2018;272906;220100
11-07-2018;268222;220787
12-07-2018;270927;220589
13-07-2018;258922;220113
14-07-2018;259234;210809
15-07-2018;260864;208666
16-07-2018;257529;218117
17-07-2018;251165;218761
18-07-2018;247665;219141
19-07-2018;254931;220356
20-07-2018;255569;221229
21-07-2018;253385;213634
22-07-2018;256442;210174
23-07-2018;263784;220200
24-07-2018;256055;221310
25-07-2018;259194;219701
26-07-2018;269177;219886
27-07-2018;268773;221264
28-07-2018;262215;213688
29-07-2018;264360;210485
30-07-2018;267827;219603
