Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-05-2011;264215;217203
01-06-2011;263699;212953
02-06-2011;261665;210749
03-06-2011;265111;211651
04-06-2011;248040;200359
05-06-2011;252822;200259
06-06-2011;256578;213841
07-06-2011;258685;212161
08-06-2011;262666;213416
09-06-2011;259535;212797
10-06-2011;260583;214683
11-06-2011;253658;203795
12-06-2011;258046;198230
13-06-2011;262096;205017
14-06-2011;273374;219269
15-06-2011;276761;220628
16-06-2011;273372;219187
17-06-2011;271816;218411
18-06-2011;251666;207645
19-06-2011;248411;200807
20-06-2011;260892;217332
21-06-2011;257618;217783
22-06-2011;257433;215787
23-06-2011;260531;216044
24-06-2011;258267;213853
25-06-2011;255600;202988
26-06-2011;245671;201341
27-06-2011;260820;213219
28-06-2011;261424;214004
29-06-2011;254531;212060
