Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-10-2012;632801;591054
02-10-2012;644201;593199
03-10-2012;651174;606391
04-10-2012;642799;597842
05-10-2012;640453;600177
06-10-2012;619942;572275
07-10-2012;602046;560196
08-10-2012;662304;623561
09-10-2012;664454;632077
10-10-2012;669929;635792
11-10-2012;671470;636967
12-10-2012;672877;643270
13-10-2012;638362;606860
14-10-2012;623576;587946
15-10-2012;692132;639606
16-10-2012;680644;642330
17-10-2012;673370;633134
18-10-2012;662293;630698
19-10-2012;658587;624307
20-10-2012;617424;585564
21-10-2012;605119;575043
22-10-2012;681284;635057
23-10-2012;690635;656018
24-10-2012;697084;664680
25-10-2012;705609;664111
26-10-2012;711941;668906
27-10-2012;673487;632825
28-10-2012;663595;634715
29-10-2012;728364;677522
30-10-2012;732734;694529
