Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-05-2020;307952;238971
02-05-2020;305804;234831
03-05-2020;305412;231706
04-05-2020;295498;231550
05-05-2020;298217;227808
06-05-2020;297500;230787
07-05-2020;291165;232015
08-05-2020;290345;230825
09-05-2020;287273;217992
10-05-2020;290122;216708
11-05-2020;290908;224947
12-05-2020;294265;236564
13-05-2020;299190;242364
14-05-2020;297549;242953
15-05-2020;300640;251038
16-05-2020;280406;237759
17-05-2020;274525;229491
18-05-2020;280626;246643
19-05-2020;276314;254986
20-05-2020;273716;256952
21-05-2020;270683;254235
22-05-2020;273125;251881
23-05-2020;267767;241586
24-05-2020;266877;235105
25-05-2020;273398;250551
26-05-2020;271327;252502
27-05-2020;273055;248701
28-05-2020;266117;246364
29-05-2020;270665;244846
30-05-2020;261672;230507
