Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-05-2020;97353;84352
01-06-2020;99467;85823
02-06-2020;99182;85939
03-06-2020;101665;87866
04-06-2020;102813;88957
05-06-2020;102861;89003
06-06-2020;99234;85207
07-06-2020;97847;83888
08-06-2020;100604;86682
09-06-2020;103211;89332
10-06-2020;102752;89562
11-06-2020;104378;91250
12-06-2020;99785;86680
13-06-2020;99754;86468
14-06-2020;96647;83468
15-06-2020;101091;87774
16-06-2020;102819;90340
17-06-2020;103044;90555
18-06-2020;102908;90430
19-06-2020;100681;88206
20-06-2020;100129;87628
21-06-2020;103399;90881
22-06-2020;102368;89872
23-06-2020;99932;87427
24-06-2020;103866;91367
25-06-2020;103056;90503
26-06-2020;100407;87494
27-06-2020;99761;85605
28-06-2020;99032;84995
29-06-2020;100517;86325
