Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-05-2019;294096;233435
01-06-2019;293943;223793
02-06-2019;298570;221138
03-06-2019;298051;227147
04-06-2019;301511;228159
05-06-2019;291871;226209
06-06-2019;285192;222894
07-06-2019;293853;225123
08-06-2019;283823;215678
09-06-2019;280001;213318
10-06-2019;287751;220522
11-06-2019;278542;221362
12-06-2019;274566;213303
13-06-2019;272542;221759
14-06-2019;276899;222140
15-06-2019;281466;218629
16-06-2019;269822;212982
17-06-2019;270851;222548
18-06-2019;268267;222468
19-06-2019;261916;222697
20-06-2019;279698;225521
21-06-2019;280019;225066
22-06-2019;277409;213440
23-06-2019;271951;210874
24-06-2019;279148;222375
25-06-2019;285279;223565
26-06-2019;282266;223380
27-06-2019;273417;224447
28-06-2019;278266;222225
29-06-2019;277543;213481
