Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-08-2020;2434155;2406403
02-08-2020;2410474;2373579
03-08-2020;2490643;2461813
04-08-2020;2502390;2472331
05-08-2020;2520491;2484020
06-08-2020;2556656;2524878
07-08-2020;2575046;2538809
08-08-2020;2511076;2459589
09-08-2020;2460674;2421912
10-08-2020;2551528;2515119
11-08-2020;2539976;2511080
12-08-2020;2536924;2504682
13-08-2020;2529468;2497089
14-08-2020;2520849;2486458
15-08-2020;2465369;2420905
16-08-2020;2437569;2394111
17-08-2020;2527415;2492117
18-08-2020;2533094;2499302
19-08-2020;2548538;2512436
20-08-2020;2562307;2524593
21-08-2020;2563119;2522729
22-08-2020;2509605;2453838
23-08-2020;2478171;2422250
24-08-2020;2555495;2516035
25-08-2020;2568133;2528875
26-08-2020;2571643;2535243
27-08-2020;2566323;2533009
28-08-2020;2572618;2535788
29-08-2020;2527900;2470827
30-08-2020;2507326;2448927
