Дата;Генерация, МВт*ч;Потребление, МВт*ч
30-01-2020;805134;798305
31-01-2020;784117;789086
01-02-2020;760365;770213
02-02-2020;751016;758151
03-02-2020;787649;785255
04-02-2020;781523;773358
05-02-2020;770921;762011
06-02-2020;779834;765645
07-02-2020;794804;781783
08-02-2020;774034;774448
09-02-2020;773338;776415
10-02-2020;810105;796846
11-02-2020;802718;783306
12-02-2020;793150;776047
13-02-2020;799363;776594
14-02-2020;796502;778359
15-02-2020;779886;767798
16-02-2020;774079;762062
17-02-2020;778407;777567
18-02-2020;772882;769010
19-02-2020;765690;762455
20-02-2020;753458;752919
21-02-2020;756950;751997
22-02-2020;753890;744721
23-02-2020;736152;741647
24-02-2020;745955;750042
25-02-2020;767378;760493
26-02-2020;773527;760728
27-02-2020;775735;755160
28-02-2020;769778;752511
