Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-01-2016;732113;739182
02-01-2016;752655;752396
03-01-2016;755555;763287
04-01-2016;775667;773422
05-01-2016;774934;780109
06-01-2016;767017;782407
07-01-2016;742924;774654
08-01-2016;754034;775884
09-01-2016;725187;764200
10-01-2016;725163;754297
11-01-2016;785438;776928
12-01-2016;791818;781938
13-01-2016;796216;791582
14-01-2016;792851;787498
15-01-2016;792700;791762
16-01-2016;751109;778070
17-01-2016;740745;775072
18-01-2016;789038;800771
19-01-2016;801103;796010
20-01-2016;785808;788012
21-01-2016;794339;788273
22-01-2016;801464;792574
23-01-2016;785885;781929
24-01-2016;775611;775720
25-01-2016;800774;799015
26-01-2016;810297;803324
27-01-2016;808039;801267
28-01-2016;807203;804396
29-01-2016;817389;811020
30-01-2016;789611;784753
