Дата;Генерация, МВт*ч;Потребление, МВт*ч
31-08-2013;612999;618485
01-09-2013;608715;612732
02-09-2013;640695;642031
03-09-2013;635872;639084
04-09-2013;651015;643761
05-09-2013;651410;643439
06-09-2013;665249;648272
07-09-2013;644838;637748
08-09-2013;640038;631933
09-09-2013;666975;654048
10-09-2013;666490;651543
11-09-2013;671130;652023
12-09-2013;662059;653560
13-09-2013;666959;656356
14-09-2013;630968;637975
15-09-2013;638432;638060
16-09-2013;677174;667947
17-09-2013;677245;673568
18-09-2013;677521;676722
19-09-2013;679938;683135
20-09-2013;687820;684883
21-09-2013;667104;665594
22-09-2013;658868;660559
23-09-2013;681979;683841
24-09-2013;683248;681107
25-09-2013;699448;685479
26-09-2013;694318;692036
27-09-2013;701923;698902
28-09-2013;663397;684582
29-09-2013;659940;674508
