Дата;Генерация, МВт*ч;Потребление, МВт*ч
01-05-2019;266878;234483
02-05-2019;281208;238246
03-05-2019;271552;245880
04-05-2019;265715;244197
05-05-2019;264280;241674
06-05-2019;277928;249080
07-05-2019;287441;251635
08-05-2019;283411;246922
09-05-2019;273196;232488
10-05-2019;272251;230788
11-05-2019;270781;229762
12-05-2019;278333;228749
13-05-2019;285067;235530
14-05-2019;287726;237040
15-05-2019;289821;236867
16-05-2019;286674;234543
17-05-2019;285457;232943
18-05-2019;283389;225758
19-05-2019;274613;220465
20-05-2019;283295;228269
21-05-2019;281515;227390
22-05-2019;276398;229446
23-05-2019;279493;232094
24-05-2019;291507;235658
25-05-2019;297672;229326
26-05-2019;303884;227651
27-05-2019;316509;239173
28-05-2019;308182;236930
29-05-2019;306778;235870
30-05-2019;302283;234177
